P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
des	niv	arg	0.02953	4.5005	3.38976e-06	0.0089535	55731.7	33555.5	31630.6
des	par	arg	0.137146	20.4315	0	0.0526626	37047.7	44907.6	34075.4
des	pet_fal	arg	0.118923	12.5933	0	0.0386617	53321.6	40175.9	31635.9
des	pet_pet	arg	0.144603	13.6996	0	0.0484455	50966.5	42172.1	31516.5
niv	par	arg	0.115523	13.3398	0	0.0436205	36407.6	42323.3	33557.3
niv	pet_fal	arg	0.097175	13.6598	0	0.0296354	58561.4	36062	29674.1
niv	pet_pet	arg	0.125477	13.1435	0	0.0396378	55487.4	38199.5	29681.9
pet_fal	par	arg	0.0370563	3.63027	0.000141561	0.0144079	40592.2	40382.7	37496.7
pet_pet	par	arg	0.00963263	0.88839	0.187165	0.00382791	40364	39619.1	38863.1
pet_fal	pet_pet	arg	0.0383059	8.17185	1.51843e-16	0.0102952	94793.5	29854	27651.2
deb	niv	des	0.207121	32.5698	0	0.0710399	38967.7	52367	34396.5
deb	des	par	0.0156346	1.75679	0.0394767	0.00562788	42876.7	39738.4	38514.9
deb	pet_fal	des	0.189404	26.967	0	0.0587958	53285.5	47964.7	32688.6
deb	pet_pet	des	0.167302	25.1541	0	0.0505039	56467	45575.3	32511.3
deb	niv	par	0.0397413	4.49693	3.44712e-06	0.0137252	44312.4	38569.2	35620.8
deb	pet_fal	niv	0.239204	36.81	0	0.126759	47541.6	51982.8	31914.3
deb	pet_pet	niv	0.210693	33.8551	0	0.10834	50847	48861	31854.8
deb	pet_fal	par	0.129571	25.6533	0	0.0434473	56069.3	41688.6	32124.6
deb	pet_pet	par	0.137708	26.1425	0	0.0458386	58539.6	41483.4	31441.1
pet_fal	pet_pet	deb	0.05167	8.4967	9.75782e-18	0.0256288	82486.6	36393.6	32817.5
des	niv	par	0.0261215	3.69502	0.000109935	0.00828669	52674.9	34550.7	32791.6
pet_fal	niv	des	0.0388412	6.36029	1.00684e-10	0.0130046	48087.7	41647.6	38533.3
pet_pet	niv	des	0.0637525	9.34207	0	0.021337	46254.2	42823.3	37690.3
des	pet_fal	par	0.112045	11.6931	0	0.0382238	50550.9	41247.4	32935.6
des	pet_pet	par	0.116738	12.1846	0	0.0405325	48742.3	42001.2	33220.1
pet_pet	pet_fal	des	0.0334461	7.25045	2.07702e-13	0.008567	87311.7	32632.2	30520
niv	pet_fal	par	0.0932977	12.6598	0	0.0298287	55389.8	37294.7	30929.6
niv	pet_pet	par	0.098515	12.4116	0	0.0322895	52891	38145.9	31304
pet_pet	pet_fal	niv	0.0448047	14.0383	0	0.0209149	78732.3	34486.5	31528.7
pet_fal	pet_pet	par	0.00959026	2.51115	0.00601698	0.00269308	90072.5	29913.8	29345.5
