P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
ano	des	deb	0.0208277	4.62227	1.89783e-06	0.0080412	81585.9	30374.5	29135.1
ano	niv	deb	0.0795281	13.2591	0	0.0372582	48467.1	38484.8	32814.5
deb	ano	par	0.0128676	2.07187	0.0191386	0.00458517	40295.2	38154.5	37185
deb	pet_fal	ano	0.178964	33.3085	0	0.0646041	52326.2	44724.3	31146.2
deb	pet_pet	ano	0.161723	31.3115	0	0.0568844	55389.3	42844.2	30915.5
ano	des	niv	0.0436932	8.18502	1.36122e-16	0.0206495	67530	34599.5	31702.5
ano	des	par	0.00477173	1.07747	0.140634	0.00128306	78967.6	28178.8	27911.1
ano	des	pet_fal	0.0366864	5.88047	2.04548e-09	0.0199273	71535.8	34637.8	32186.2
ano	des	pet_pet	0.030798	5.08108	1.87645e-07	0.0142489	72563.8	33779.4	31760.9
ano	niv	par	0.0303008	6.21909	2.5003e-10	0.00960768	48506.1	33651.6	31672.3
pet_fal	niv	ano	0.0333692	7.23321	2.35861e-13	0.0128772	47731.2	38491.2	36005.3
pet_pet	niv	ano	0.0538718	10.0174	0	0.0208356	45763	39458.5	35424.4
ano	pet_fal	par	0.114921	16.9394	0	0.0389139	46643.1	39970	31730.2
ano	pet_pet	par	0.120243	16.679	0	0.0413819	45236.2	40596.7	31881.6
pet_pet	pet_fal	ano	0.0269507	7.24359	2.18473e-13	0.00802038	85907.1	30408	28812
des	deb	arg	0.0379471	5.40086	3.31619e-08	0.0135227	44268.3	40548	37583.1
niv	deb	arg	0.0128097	2.13708	0.0162959	0.00441409	45722.9	37421.5	36474.9
par	arg	deb	0.0129321	1.82332	0.0341273	0.00630031	45137.1	37097.6	36150.4
deb	pet_fal	arg	0.0763858	13.5617	0	0.025485	57885.2	39335.7	33752.8
deb	pet_pet	arg	0.105897	16.6582	0	0.0354915	60036.2	40361.6	32631.8
des	niv	arg	0.02953	6.5227	3.45254e-11	0.0089535	55731.7	33555.5	31630.6
arg	par	des	0.0417914	7.01336	1.16329e-12	0.0122788	44907.6	37047.7	34075.4
des	pet_fal	arg	0.118923	18.6703	0	0.0386617	53321.6	40175.9	31635.9
des	pet_pet	arg	0.144603	21.2615	0	0.0484455	50966.5	42172.1	31516.5
arg	par	niv	0.0407394	6.22147	2.46262e-10	0.0187308	42323.3	36407.6	33557.3
niv	pet_fal	arg	0.097175	18.124	0	0.0296354	58561.4	36062	29674.1
niv	pet_pet	arg	0.125477	19.679	0	0.0396378	55487.4	38199.5	29681.9
pet_fal	par	arg	0.0370563	4.48033	3.72641e-06	0.0144079	40592.2	40382.7	37496.7
pet_pet	par	arg	0.00963263	1.08197	0.139632	0.00382791	40364	39619.1	38863.1
pet_fal	pet_pet	arg	0.0383059	9.40342	0	0.0102952	94793.5	29854	27651.2
des	niv	deb	0.0623081	10.403	0	0.0294276	52367	38967.7	34396.5
deb	des	par	0.0156346	2.47116	0.00673375	0.00562788	42876.7	39738.4	38514.9
deb	pet_fal	des	0.189404	32.2846	0	0.0587958	53285.5	47964.7	32688.6
deb	pet_pet	des	0.167302	28.6867	0	0.0505039	56467	45575.3	32511.3
deb	niv	par	0.0397413	7.40289	6.66261e-14	0.0137252	44312.4	38569.2	35620.8
niv	pet_fal	deb	0.196679	29.6446	0	0.102399	51982.8	47541.6	31914.3
deb	pet_pet	niv	0.210693	38.3325	0	0.10834	50847	48861	31854.8
deb	pet_fal	par	0.129571	23.6557	0	0.0434473	56069.3	41688.6	32124.6
deb	pet_pet	par	0.137708	25.5149	0	0.0458386	58539.6	41483.4	31441.1
pet_fal	pet_pet	deb	0.05167	13.6151	0	0.0256288	82486.6	36393.6	32817.5
des	niv	par	0.0261215	5.05018	2.20692e-07	0.00828669	52674.9	34550.7	32791.6
pet_fal	niv	des	0.0388412	6.32284	1.28397e-10	0.0130046	48087.7	41647.6	38533.3
pet_pet	niv	des	0.0637525	10.7208	0	0.021337	46254.2	42823.3	37690.3
des	pet_fal	par	0.112045	16.5177	0	0.0382238	50550.9	41247.4	32935.6
des	pet_pet	par	0.116738	16.4711	0	0.0405325	48742.3	42001.2	33220.1
pet_pet	pet_fal	des	0.0334461	8.30973	4.79759e-17	0.008567	87311.7	32632.2	30520
niv	pet_fal	par	0.0932977	16.3113	0	0.0298287	55389.8	37294.7	30929.6
niv	pet_pet	par	0.098515	16.5816	0	0.0322895	52891	38145.9	31304
pet_pet	pet_fal	niv	0.0448047	12.912	0	0.0209149	78732.3	34486.5	31528.7
pet_fal	pet_pet	par	0.00959026	2.68945	0.00357851	0.00269308	90072.5	29913.8	29345.5
