chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Ha412HOChr01	71056888	72445821	0.180754	0.026242	0.018343	0.136490
Ha412HOChr01	71179890	72653046	0.372619	0.064782	0.047140	0.291667
Ha412HOChr01	72446766	72944935	0.394209	0.068743	0.055093	0.309278
Ha412HOChr01	72653055	73254500	0.261593	0.042902	0.032303	0.220159
Ha412HOChr01	72952671	73643337	0.354093	0.052506	0.037513	0.308585
Ha412HOChr01	73254740	74212516	0.251221	0.035899	0.026077	0.208226
Ha412HOChr01	73643376	74255206	-0.069192	-0.014625	-0.010618	-0.109589
Ha412HOChr01	74212560	74415522	0.160028	0.037784	0.026680	0.113573
Ha412HOChr01	74255215	74438547	0.205652	0.043197	0.031852	0.163539
Ha412HOChr01	74415533	74934920	0.462127	0.066488	0.051674	0.435159
Ha412HOChr01	74438668	75268518	0.437257	0.057082	0.042315	0.419178
Ha412HOChr01	74936822	75435127	0.511234	0.098707	0.068679	0.404700
Ha412HOChr01	75268625	75441273	0.552901	0.126902	0.077778	0.349754
Ha412HOChr01	75435148	75525853	0.220266	0.052417	0.032962	0.156863
Ha412HOChr01	75441332	75783204	0.179465	0.056057	0.040280	0.158442
Ha412HOChr01	75525856	76043520	0.212074	0.061215	0.041240	0.098160
Ha412HOChr01	75783589	77001548	0.333907	0.050103	0.034905	0.232558
Ha412HOChr01	76067764	77276435	0.625607	0.094166	0.068735	0.532294
Ha412HOChr01	77001818	77380782	0.674550	0.127147	0.092585	0.527981
Ha412HOChr01	77276533	77382257	0.484649	0.124478	0.081004	0.281654
Ha412HOChr01	77380793	77505156	0.400910	0.123482	0.072477	0.255132
Ha412HOChr01	77382577	77583943	0.370305	0.099136	0.057715	0.293680
Ha412HOChr01	77505171	78359004	0.686060	0.141532	0.100348	0.606218
Ha412HOChr01	77583998	78537945	0.678996	0.117392	0.087568	0.590200
Ha412HOChr01	78359033	78742902	0.631179	0.115583	0.083231	0.539130
Ha412HOChr01	78538029	79130491	0.559651	0.094369	0.068268	0.409756
Ha412HOChr01	78743794	79241249	-0.248926	-0.044153	-0.029571	-0.221154
Ha412HOChr01	79134253	79750440	-0.284893	-0.041726	-0.028567	-0.276596
Ha412HOChr01	79242282	80380154	0.400034	0.048448	0.033794	0.279661
Ha412HOChr01	79750464	80522863	0.471277	0.070788	0.048484	0.338530
Ha412HOChr01	80381911	80714494	0.428178	0.052356	0.038718	0.305623
Ha412HOChr01	80522989	81119930	0.671818	0.106992	0.082305	0.592233
Ha412HOChr01	80719992	81290354	0.641526	0.140209	0.108627	0.507653
Ha412HOChr01	81272063	81944156	0.671825	0.124774	0.093789	0.537838
Ha412HOChr01	81290359	82238391	0.842829	0.178965	0.137510	0.785088
Ha412HOChr01	81944229	82473825	0.813240	0.168862	0.131451	0.728477
Ha412HOChr01	82238723	82649661	0.857691	0.160971	0.112319	0.797561
Ha412HOChr01	82473832	83032288	0.471671	0.107163	0.073453	0.407229
Ha412HOChr01	82649826	83387163	-0.019681	-0.005981	-0.004325	-0.094872
Ha412HOChr01	83032316	84014608	0.458670	0.094680	0.068878	0.301630
Ha412HOChr01	83387170	85100958	0.878535	0.182636	0.133557	0.845411
Ha412HOChr01	84023612	85106195	0.822388	0.206793	0.150814	0.761039
Ha412HOChr01	85102654	85356362	0.478247	0.089814	0.067070	0.364583
Ha412HOChr01	85123646	86875005	0.653634	0.145568	0.112244	0.467568
Ha412HOChr01	86574207	87334551	0.566387	0.143630	0.111860	0.410673
Ha412HOChr01	86875224	87428324	0.348517	0.084980	0.060049	0.236504
Ha412HOChr01	87334568	87794518	0.463505	0.127085	0.085751	0.377088
Ha412HOChr01	87430235	87803377	0.350746	0.083738	0.058070	0.282555
Ha412HOChr01	87794950	87804206	0.327273	0.074440	0.053037	0.246429
Ha412HOChr01	87803401	87817657	0.785489	0.199041	0.159258	0.732558
Ha412HOChr01	87806135	88037953	0.502209	0.107452	0.079385	0.362500
Ha412HOChr01	87817672	88696325	0.486970	0.123622	0.084975	0.424501
Ha412HOChr01	88037965	88812791	0.518094	0.150256	0.105848	0.452316
Ha412HOChr01	88696352	89746525	0.637819	0.194888	0.141156	0.507003
Ha412HOChr01	88812809	90225830	0.671539	0.126666	0.095668	0.587079
Ha412HOChr01	89746720	90704395	0.378069	0.051786	0.039410	0.250784
Ha412HOChr01	90227634	90860874	0.060513	0.012918	0.009070	0.019841
Ha412HOChr01	90704405	91486032	0.625820	0.167474	0.124064	0.582090
Ha412HOChr01	90860875	91569778	0.899604	0.187178	0.144770	0.848276
Ha412HOChr01	91492462	91765230	0.600151	0.107594	0.080274	0.436754
Ha412HOChr01	91569802	92336377	0.387709	0.046790	0.035634	0.279805
Ha412HOChr01	91765573	92944335	0.540762	0.074940	0.058254	0.424528
Ha412HOChr01	92336892	92945624	0.450667	0.149258	0.096756	0.216710
Ha412HOChr01	92944341	92996070	-0.073521	-0.037307	-0.014697	-0.101449
Ha412HOChr01	92945634	93074894	0.439815	0.136380	0.079913	0.358108
Ha412HOChr01	92996937	93308860	0.615860	0.118219	0.084685	0.515957
Ha412HOChr01	93149065	93827512	0.464203	0.070658	0.052820	0.371901
Ha412HOChr01	93316548	94120366	0.388034	0.058221	0.044194	0.366412
Ha412HOChr01	93827514	94196592	0.203583	0.038973	0.029396	0.210784
Ha412HOChr01	94120372	94251969	0.559347	0.121398	0.097941	0.498783
Ha412HOChr01	94196655	94390576	0.664515	0.113392	0.093372	0.645977
Ha412HOChr01	94252239	94597997	0.523075	0.100555	0.080001	0.512315
Ha412HOChr01	94390625	94615951	0.413821	0.080622	0.062952	0.286822
Ha412HOChr01	94598107	94741436	0.082086	0.014697	0.011081	-0.010101
Ha412HOChr01	94616049	94763112	0.408173	0.069711	0.052011	0.312500
Ha412HOChr01	94742747	94961841	0.392956	0.048448	0.034707	0.363128
Ha412HOChr01	94847626	95056436	0.236603	0.027162	0.019620	0.200000
Ha412HOChr01	94961861	95319111	0.515152	0.077308	0.058313	0.402010
Ha412HOChr01	95059086	95651259	0.212798	0.038034	0.027128	0.129199
Ha412HOChr01	95319532	95949652	-0.004249	-0.000544	-0.000387	-0.026954
Ha412HOChr01	95651458	95951725	0.350267	0.043352	0.033268	0.302053
Ha412HOChr01	95949874	96287600	0.447659	0.062547	0.049043	0.372014
Ha412HOChr01	95952497	96470777	0.404060	0.045640	0.032120	0.379888
Ha412HOChr01	96288064	97384201	0.330791	0.037214	0.025248	0.313501
Ha412HOChr01	96470778	97635174	0.417496	0.054060	0.037203	0.372922
Ha412HOChr01	97384311	98274079	0.539492	0.083109	0.059799	0.497512
Ha412HOChr01	97635201	98610547	0.388999	0.070007	0.047943	0.298925
Ha412HOChr01	98274124	98726100	0.385321	0.087767	0.057956	0.290476
Ha412HOChr01	98610595	98730408	0.345305	0.063157	0.045229	0.305842
Ha412HOChr01	98726109	98928080	-0.179010	-0.023118	-0.016498	-0.123746
Ha412HOChr01	98731545	99032353	0.177503	0.028977	0.021669	0.188329
Ha412HOChr01	98928262	99043045	0.553637	0.126106	0.099733	0.446809
Ha412HOChr01	99032364	100018729	0.608010	0.223351	0.157682	0.529412
Ha412HOChr01	99043060	101202393	0.553342	0.166519	0.116715	0.509839
Ha412HOChr01	100018827	101907868	0.240349	0.051317	0.036156	0.161410
Ha412HOChr01	101202963	102490434	0.303934	0.045864	0.034193	0.220339
Ha412HOChr01	101909389	102584304	0.628440	0.115779	0.090531	0.584270
Ha412HOChr01	102491317	102698791	0.324342	0.092762	0.070321	0.234375
Ha412HOChr01	102584329	102861551	0.215124	0.058827	0.042974	0.187943
Ha412HOChr01	102699259	103117793	0.587355	0.140413	0.106781	0.540046
Ha412HOChr01	102864872	103840721	0.594328	0.116302	0.089279	0.541667
Ha412HOChr01	103118153	104148008	0.139561	0.016814	0.013050	0.053191
Ha412HOChr01	103840726	104885055	0.108454	0.011976	0.008949	0.029213
Ha412HOChr01	104148047	106058922	0.568649	0.080713	0.059413	0.499044
Ha412HOChr01	104954350	106937577	0.512768	0.057939	0.045316	0.510949
Ha412HOChr01	106058952	107320864	0.432126	0.049006	0.038970	0.429688
Ha412HOChr01	106940353	107456134	0.701816	0.126466	0.093872	0.618519
Ha412HOChr01	107320891	107675690	0.757966	0.128632	0.092870	0.690949
Ha412HOChr01	107456155	108286559	0.570377	0.067228	0.050025	0.493225
Ha412HOChr01	107675691	108421751	0.319053	0.037457	0.025949	0.207602
Ha412HOChr01	108286858	109227798	0.263575	0.040675	0.025020	0.203947
Ha412HOChr01	108421822	109817083	0.108131	0.011535	0.007883	0.106267
Ha412HOChr01	109298493	110575120	0.034693	0.003751	0.002751	0.068293
Ha412HOChr01	109817296	111533813	0.212509	0.029411	0.022088	0.210280
Ha412HOChr01	110680813	112595221	0.128254	0.015465	0.011205	0.078431
Ha412HOChr01	111534833	112994210	-0.012448	-0.001207	-0.000875	-0.073569
Ha412HOChr01	112595227	113414233	-0.019747	-0.002284	-0.001711	-0.053097
Ha412HOChr01	112996172	113710705	0.145847	0.020085	0.015730	0.107623
Ha412HOChr01	113414368	113791984	0.303991	0.045477	0.034872	0.187692
Ha412HOChr01	113710766	113977980	-0.178141	-0.027354	-0.020263	-0.190476
Ha412HOChr01	113792008	114474352	0.183802	0.022133	0.016938	0.069307
Ha412HOChr01	113979928	114777810	0.318832	0.044467	0.034101	0.254464
Ha412HOChr01	114474362	115052820	0.350262	0.064338	0.049659	0.298283
Ha412HOChr01	114835723	115053122	0.391990	0.115123	0.087150	0.248021
Ha412HOChr01	115052861	115053545	-0.055718	-0.042091	-0.029858	-0.041322
Ha412HOChr01	115053137	115054068	0.184116	0.112438	0.085816	0.075630
Ha412HOChr01	115053563	115054670	0.060025	0.039162	0.028475	0.003663
Ha412HOChr01	115054114	115055528	-0.129709	-0.097518	-0.064943	-0.089655
Ha412HOChr01	115054703	115055975	-0.267187	-0.218408	-0.136718	-0.141818
Ha412HOChr01	115055551	115056245	-0.153682	-0.124892	-0.084112	-0.083969
Ha412HOChr01	115055993	115056887	0.200000	0.156878	0.110824	0.096419
Ha412HOChr01	115056293	115680825	0.544382	0.098762	0.074817	0.318945
Ha412HOChr01	115056892	115692033	0.225397	0.041542	0.029394	0.134956
Ha412HOChr01	115680828	115772035	0.151194	0.029598	0.019993	0.083333
Ha412HOChr01	115692273	116259857	0.084193	0.011877	0.009029	0.101887
Ha412HOChr01	115772249	116619157	0.195394	0.028355	0.021808	0.218045
Ha412HOChr01	116497699	117130486	0.334315	0.058424	0.044090	0.316456
Ha412HOChr01	116619244	117196763	0.022450	0.003716	0.002637	-0.007905
Ha412HOChr01	117130493	117484713	-0.257326	-0.027588	-0.019439	-0.223005
Ha412HOChr01	117331656	117501059	-0.137029	-0.016622	-0.012335	-0.089674
Ha412HOChr01	117484716	118310784	0.200287	0.025134	0.019722	0.202985
Ha412HOChr01	117501829	118629128	0.033772	0.003776	0.002927	-0.034247
Ha412HOChr01	118311470	119416182	-0.028754	-0.002925	-0.002337	-0.119192
Ha412HOChr01	118629740	119556654	0.093103	0.008543	0.007053	0.012920
Ha412HOChr01	119416678	119578727	0.003710	0.000491	0.000382	-0.027875
Ha412HOChr01	119556735	120036260	-0.131588	-0.012232	-0.009654	-0.061475
Ha412HOChr01	119578745	120418162	-0.056199	-0.005985	-0.004789	-0.024658
Ha412HOChr01	120036300	120718689	0.013458	0.001891	0.001482	-0.007752
Ha412HOChr01	120489543	121288730	0.472115	0.048596	0.039253	0.363897
Ha412HOChr01	120718725	121400596	0.322232	0.036998	0.029250	0.279330
Ha412HOChr01	121347457	121526318	0.003683	0.000636	0.000464	-0.013333
Ha412HOChr01	121400627	121706192	0.394444	0.105911	0.070115	0.338290
Ha412HOChr01	121526334	121803963	0.445405	0.106120	0.062756	0.289377
Ha412HOChr01	121706208	121895598	0.322459	0.093431	0.055161	0.170659
Ha412HOChr01	121803984	121989052	0.087641	0.044236	0.028111	0.009091
Ha412HOChr01	121895653	122289107	-0.267366	-0.073252	-0.045237	-0.271552
Ha412HOChr01	121989072	122986613	-0.305183	-0.052896	-0.037093	-0.228682
Ha412HOChr01	122289817	123141504	-0.189858	-0.047763	-0.032308	-0.117117
Ha412HOChr01	122986698	123142893	0.186047	0.089799	0.051118	0.138264
Ha412HOChr01	123141591	123302436	0.227273	0.078407	0.052171	0.180723
Ha412HOChr01	123142896	123373284	0.020495	0.003528	0.002527	0.015444
Ha412HOChr01	123304535	123380652	0.135855	0.020515	0.014623	0.092742
Ha412HOChr01	123373711	123860957	-0.128156	-0.014836	-0.010939	-0.107884
Ha412HOChr01	123380655	123867052	0.136062	0.021209	0.016163	0.084375
Ha412HOChr01	123861082	123999412	0.408654	0.104744	0.073977	0.280236
Ha412HOChr01	123867122	124185273	0.231884	0.038879	0.027190	0.148265
Ha412HOChr01	124004548	124844734	0.353846	0.051161	0.036885	0.298246
Ha412HOChr01	124220225	125638181	0.467473	0.078329	0.053427	0.468000
Ha412HOChr01	124844784	125682451	0.651667	0.163366	0.113863	0.596825
Ha412HOChr01	125638249	125804639	0.619130	0.182588	0.134327	0.536232
Ha412HOChr01	125682542	126043890	0.395055	0.079498	0.059913	0.290735
Ha412HOChr01	125805870	126118725	0.304251	0.042760	0.033042	0.180556
Ha412HOChr01	126044073	126640366	0.404517	0.065216	0.048675	0.281437
Ha412HOChr01	126118740	126943828	0.509306	0.090449	0.063726	0.394022
Ha412HOChr01	126640932	127202220	0.533708	0.079867	0.059800	0.403990
Ha412HOChr01	126944028	127381972	0.405498	0.066858	0.051597	0.284065
Ha412HOChr01	127202356	128215894	0.450408	0.076603	0.057357	0.338308
Ha412HOChr01	127438280	128587891	0.507790	0.078274	0.060488	0.398148
Ha412HOChr01	128216611	128725157	0.289627	0.070353	0.051236	0.170854
Ha412HOChr01	128587941	129254779	0.332322	0.058316	0.044307	0.256140
Ha412HOChr01	128725196	129617270	0.334376	0.043956	0.034353	0.292818
Ha412HOChr01	129254833	129696972	0.439482	0.079633	0.061664	0.380368
Ha412HOChr01	129619274	130095661	0.567054	0.107601	0.078444	0.498328
Ha412HOChr01	129696995	130201978	0.356557	0.060415	0.044862	0.303226
Ha412HOChr01	130095986	130322258	0.339921	0.054851	0.043595	0.228650
Ha412HOChr01	130201994	130422796	0.324544	0.042176	0.033263	0.182857
Ha412HOChr01	130322418	130830730	0.251925	0.031911	0.023846	0.129032
Ha412HOChr01	130422928	130958990	0.635332	0.101432	0.075695	0.535135
Ha412HOChr01	130830878	131093097	0.612197	0.156909	0.117116	0.553525
Ha412HOChr01	130959230	131213762	0.294407	0.071107	0.048569	0.268041
Ha412HOChr01	131093100	131432448	0.507221	0.088144	0.066120	0.407407
Ha412HOChr01	131213855	131540466	0.572563	0.118086	0.088486	0.492795
Ha412HOChr01	131436517	131668021	0.323668	0.058405	0.042194	0.216216
Ha412HOChr01	131540875	131937418	0.159664	0.022066	0.016845	0.055901
Ha412HOChr01	131709618	132165833	-0.000449	-0.000069	-0.000051	-0.062500
Ha412HOChr01	131937424	132409873	-0.147552	-0.028932	-0.020890	-0.260586
Ha412HOChr01	132168380	132632175	0.286898	0.060486	0.045706	0.186969
Ha412HOChr01	132409874	132681936	0.468966	0.087523	0.067596	0.447592
Ha412HOChr01	132634144	132797752	0.505587	0.101472	0.081653	0.458228
Ha412HOChr01	132681988	133246426	0.499535	0.126462	0.101432	0.371601
Ha412HOChr01	132821276	133370990	0.391763	0.096268	0.074550	0.285714
Ha412HOChr01	133246823	133650380	0.499423	0.100169	0.076882	0.436754
Ha412HOChr01	133371066	134025692	0.503703	0.068120	0.052432	0.454545
Ha412HOChr01	133663009	134152413	0.389736	0.051204	0.038585	0.315789
Ha412HOChr01	134025740	134217585	0.126669	0.022602	0.015691	0.063712
Ha412HOChr01	134152821	134305764	0.284396	0.049247	0.036028	0.209549
Ha412HOChr01	134217596	134616947	0.597433	0.128357	0.100964	0.486034
Ha412HOChr01	134326179	134746872	0.635615	0.120970	0.096127	0.591716
Ha412HOChr01	134617126	134839709	0.634966	0.117699	0.089324	0.598802
Ha412HOChr01	134746877	134971596	0.501892	0.119452	0.085033	0.422572
Ha412HOChr01	134841783	135232086	0.295455	0.050517	0.039477	0.206731
Ha412HOChr01	134972249	135254241	0.031952	0.004961	0.003992	-0.037736
